Layer,Field Name,Full Field Name,Field Description
2D boundary,bed_load_b,bed_load_boundary,하상 부하 경계 유형
2D boundary,BndLnTyp,line_type,경계선 유형
2D boundary,headufl_id,head_unit_discharge_id,수두 단위 유량 표
2D boundary,hotlinks,hotlinks,Hotlinks
2D boundary,length,length,연장
2D boundary,line_id,line_id,이름
2D boundary,suspended_,suspended_load_boundary,부유 하중 경계 유형
2D boundary,UN1,user_number_1,사용자 번호 1
2D boundary,UN10,user_number_10,사용자 번호 10
2D boundary,UN2,user_number_2,사용자 번호 2
2D boundary,UN3,user_number_3,사용자 번호 3
2D boundary,UN4,user_number_4,사용자 번호 4
2D boundary,UN5,user_number_5,사용자 번호 5
2D boundary,UN6,user_number_6,사용자 번호 6
2D boundary,UN7,user_number_7,사용자 번호 7
2D boundary,UN8,user_number_8,사용자 번호 8
2D boundary,UN9,user_number_9,사용자 번호 9
2D boundary,UT1,user_text_1,사용자 텍스트 1
2D boundary,UT10,user_text_10,사용자 텍스트 10
2D boundary,UT2,user_text_2,사용자 텍스트 2
2D boundary,UT3,user_text_3,사용자 텍스트 3
2D boundary,UT4,user_text_4,사용자 텍스트 4
2D boundary,UT5,user_text_5,사용자 텍스트 5
2D boundary,UT6,user_text_6,사용자 텍스트 6
2D boundary,UT7,user_text_7,사용자 텍스트 7
2D boundary,UT8,user_text_8,사용자 텍스트 8
2D boundary,UT9,user_text_9,사용자 텍스트 9
2D simulation elements,element_no,element_no,element_no
2D simulation elements,zone_id,zone_id,zone_id
Building,2d_point_i,2d_pt_id,2D 포인트 ID
Building,bldgid,building_id,Building ID
Building,cap_limit,capacity_limit,Capacity limit
Building,cat_slope,catchment_slope,경사도
Building,cont_area,contributing_area,기여 면적
Building,drains_to,drains_to,배수 to
Building,evap_prof,evaporation_profile,증발 프로필
Building,Height,height,높이
Building,hotlinks,hotlinks,Hotlinks
Building,Level,level,깊이
Building,linksuffix,link_suffix,링크 확장자
Building,low_lt_lvl,lower_limit_level,하한 레벨
Building,lvl_type,level_type,유형
Building,node_id,node_id,노드 ID
Building,out_lag,output_lag,출력 지체
Building,Porosity,porosity,공극율
Building,rain_prof,rainfall_profile,강우량 프로파일
Building,RaiseBy,raise_by,상승값
Building,rough_defn,roughness_definition_id,조도 정의
Building,Roughness,roughness,조도 (Manning's n)
Building,systemtype,system_type,시스템 유형
Building,total_area,total_area,전체 면적
Building,UN1,user_number_1,사용자 번호 1
Building,UN10,user_number_10,사용자 번호 10
Building,UN2,user_number_2,사용자 번호 2
Building,UN3,user_number_3,사용자 번호 3
Building,UN4,user_number_4,사용자 번호 4
Building,UN5,user_number_5,사용자 번호 5
Building,UN6,user_number_6,사용자 번호 6
Building,UN7,user_number_7,사용자 번호 7
Building,UN8,user_number_8,사용자 번호 8
Building,UN9,user_number_9,사용자 번호 9
Building,upp_lt_lvl,upper_limit_level,상위 한계 수위
Building,use_low_lt,use_lower_limit,하위 한계 이용
Building,use_upp_lt,use_upper_limit,상위 한계 이용
Building,UT1,user_text_1,사용자 텍스트 1
Building,UT10,user_text_10,사용자 텍스트 10
Building,UT2,user_text_2,사용자 텍스트 2
Building,UT3,user_text_3,사용자 텍스트 3
Building,UT4,user_text_4,사용자 텍스트 4
Building,UT5,user_text_5,사용자 텍스트 5
Building,UT6,user_text_6,사용자 텍스트 6
Building,UT7,user_text_7,사용자 텍스트 7
Building,UT8,user_text_8,사용자 텍스트 8
Building,UT9,user_text_9,사용자 텍스트 9
Building,x,x,X
Building,y,y,Y
Conduit,asset_id,asset_id,자산 ID
Conduit,asset_uid,asset_uid,InfoAsset 고유 ID
Conduit,baseheight,base_height,기준 높이
Conduit,bot_man,bottom_roughness_Manning,하단 조도 Manning's 1/n
Conduit,bot_n,bottom_roughness_N,하단 조도 Manning's
Conduit,bot_rcw,bottom_roughness_CW,하단 조도 Colebrook-White
Conduit,bot_rhw,bottom_roughness_HW,하단 조도 HW
Conduit,branch_id,branch_id,분기 ID
Conduit,c,c,c
Conduit,c_o,c_o,c (outlet)
Conduit,capacity,capacity,전체 용량
Conduit,condheight,conduit_height,높이
Conduit,condlen,conduit_length,연장
Conduit,condmat,conduit_material,관 재질
Conduit,condtype,conduit_type,관 유형
Conduit,condwidth,conduit_width,너비
Conduit,conncoeff,connection_coefficient,수직 연결 계수
Conduit,critsewcat,critical_sewer_category,임계 하수도 범주
Conduit,d1dd0,diff1d_d0,1d 확산 d0
Conduit,d1dd1,diff1d_d1,1d 확산 d1
